service_id,date,exception_type
S000001,20230503,2
S000001,20230504,2
S000001,20230505,2
S000001,20230717,2
S000001,20230811,2
S000002,20230429,2
S000003,20230429,1
S000003,20230503,1
S000003,20230504,1
S000003,20230505,1
S000003,20230717,1
S000003,20230811,1
S000004,20230321,2
S000004,20230503,2
S000004,20230504,2
S000004,20230505,2
S000004,20230717,2
S000004,20230811,2
S000005,20230429,2
S000006,20230321,1
S000006,20230429,1
S000006,20230503,1
S000006,20230504,1
S000006,20230505,1
S000006,20230717,1
S000006,20230811,1
S000007,20230311,2
S000007,20230325,2
S000007,20230408,2
S000007,20230422,2
S000007,20230429,2
S000008,20230811,2
S000010,20230429,1
S000010,20230503,1
S000010,20230504,1
S000010,20230505,1
S000010,20230717,1
S000010,20230811,1
S000011,20230321,2
S000011,20230327,2
S000011,20230328,2
S000011,20230329,2
S000011,20230330,2
S000011,20230331,2
S000011,20230503,2
S000011,20230504,2
S000011,20230505,2
S000011,20230717,2
S000011,20230811,2
