route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,jp_parent_route_id
R010200010,4430001050451,,１００三井アウトレットパーク線,,3,,,,
R010200011,4430001050451,,１０３滝野線,,3,,,,
R010200519,4430001050451,,１０おたる水族館線,,3,,,,
R010200009,4430001050451,,１０南町・春日循環線,,3,,,,
R010200014,4430001050451,,１１３大曲光線,,3,,,,
R010200012,4430001050451,,１１祝津線,,3,,,,
R010200013,4430001050451,,１１幌向線,,3,,,,
R010200015,4430001050451,,１２赤岩線,,3,,,,
R010200521,4430001050451,,１２大和線,,3,,,,
R010200522,4430001050451,,１３いわみざわ公園線,,3,,,,
R010200017,4430001050451,,１３朝里川温泉線,,3,,,,
R010200019,4430001050451,,１４花川南団地線,,3,,,,
R010200020,4430001050451,,１４梅源線,,3,,,,
R010200023,4430001050451,,１６奥沢線,,3,,,,
R010200026,4430001050451,,１６花畔団地線,,3,,,,
R010200027,4430001050451,,１７塩谷線,,3,,,,
R010200029,4430001050451,,１８８サッポロビール園・Ａ線,,3,,,,
R010200028,4430001050451,,１８余市線,,3,,,,
R010200030,4430001050451,,１９小樽商大線,,3,,,,
R010200001,4430001050451,,１かえで団地循環線,,3,,,,
R010200002,4430001050451,,１ぱるて築港線,,3,,,,
R010200006,4430001050451,,１桜木線,,3,,,,
R010200007,4430001050451,,１屯田線,,3,,,,
R010200036,4430001050451,,２０積丹線,,3,,,,
R010200037,4430001050451,,２０東部隊線,,3,,,,
R010200040,4430001050451,,２１月形線,,3,,,,
R010200041,4430001050451,,２１積丹線,,3,,,,
R010200042,4430001050451,,２１東部隊線,,3,,,,
R010200044,4430001050451,,２２あいの里篠路線,,3,,,,
R010200045,4430001050451,,２２稲穂団地線,,3,,,,
R010200046,4430001050451,,２２江別２番通線,,3,,,,
R010200047,4430001050451,,２２三笠線,,3,,,,
R010200048,4430001050451,,２３稲穂団地線,,3,,,,
R010200049,4430001050451,,２３三笠線,,3,,,,
R010200050,4430001050451,,２４岩見沢美唄線,,3,,,,
R010200051,4430001050451,,２４江別２番通線,,3,,,,
R010200052,4430001050451,,２４山手中通線,,3,,,,
R010200053,4430001050451,,２５岩見沢長沼線,,3,,,,
R010200054,4430001050451,,２６岩見沢栗山線,,3,,,,
R010200055,4430001050451,,２７岩見沢栗山線,,3,,,,
R010200056,4430001050451,,２８ひまわり団地線,,3,,,,
R010200531,4430001050451,,２８岩見沢由仁線,,3,,,,
R010200058,4430001050451,,２９夕張線,,3,,,,
R010200031,4430001050451,,２かえで団地循環線,,3,,,,
R010200033,4430001050451,,２桜木線,,3,,,,
R010200034,4430001050451,,２小樽市内本線,,3,,,,
R010200035,4430001050451,,２屯田線,,3,,,,
R010200064,4430001050451,,３０小樽ベイビュータウン線,,3,,,,
R010200065,4430001050451,,３３新光ぱるて築港線,,3,,,,
R010200066,4430001050451,,３６篠路駅前団地線,,3,,,,
R010200067,4430001050451,,３６望洋台ぱるて築港線,,3,,,,
R010200068,4430001050451,,３７最上ぱるて築港線,,3,,,,
R010200069,4430001050451,,３８おたもい・ぱるて築港線,,3,,,,
R010200059,4430001050451,,３みどり台線,,3,,,,
R010200060,4430001050451,,３小樽市内本線,,3,,,,
R010200062,4430001050451,,３屯田線,,3,,,,
R010200063,4430001050451,,３日の出台・栄町循環線,,3,,,,
R010200073,4430001050451,,４２赤岩ぱるて築港線,,3,,,,
R010200074,4430001050451,,４３手稲線,,3,,,,
R010200075,4430001050451,,４６奥沢ぱるて築港線,,3,,,,
R010200070,4430001050451,,４山手線,,3,,,,
R010200071,4430001050451,,４屯田線,,3,,,,
R010200072,4430001050451,,４日の出台・栄町循環線,,3,,,,
R010200078,4430001050451,,５５江別新さっぽろ線,,3,,,,
R010200079,4430001050451,,５５白石本線,,3,,,,
R010200080,4430001050451,,５６東雁来線,,3,,,,
R010200081,4430001050451,,５７北郷本線,,3,,,,
R010200076,4430001050451,,５江別新さっぽろ線,,3,,,,
R010200077,4430001050451,,５鉄北循環線,,3,,,,
R010200084,4430001050451,,６０江別新さっぽろ線,,3,,,,
R010200085,4430001050451,,６１月寒東線,,3,,,,
R010200086,4430001050451,,６４北野中央線,,3,,,,
R010200082,4430001050451,,６鉄北循環線,,3,,,,
R010200083,4430001050451,,６望洋台線,,3,,,,
R010200089,4430001050451,,７２南郷線,,3,,,,
R010200090,4430001050451,,７４月寒本線,,3,,,,
R010200091,4430001050451,,７９西岡平岸線,,3,,,,
R010200087,4430001050451,,７最上線,,3,,,,
R010200088,4430001050451,,７鉄北循環線,,3,,,,
R010200094,4430001050451,,８０月寒本線,,3,,,,
R010200095,4430001050451,,８３西岡美園線,,3,,,,
