service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S000001,1,1,1,1,1,0,0,20230403,20230831
S000002,0,0,0,0,0,1,0,20230401,20230826
S000003,0,0,0,0,0,0,1,20230402,20230827
S000004,1,1,1,1,1,0,0,20230301,20230831
S000005,0,0,0,0,0,1,0,20230304,20230826
S000006,0,0,0,0,0,0,1,20230305,20230827
S000007,0,0,0,0,0,1,0,20230304,20230826
S000008,1,1,1,1,1,0,0,20230719,20230831
S000009,0,0,0,0,0,1,0,20230506,20230826
S000010,0,0,0,0,0,0,1,20230429,20230827
S000011,1,1,1,1,1,0,0,20230301,20230831
