fare_id,route_id,origin_id,destination_id,contains_id
F01020003200,,Z000000,Z000050,
F01020003200,,Z000010,Z000050,
F01020003200,,Z000020,Z000050,
F01020003200,,Z000030,Z000050,
F01020003200,,Z000050,Z000000,
F01020003200,,Z000050,Z000010,
F01020003200,,Z000050,Z000020,
F01020003200,,Z000050,Z000040,
F01020002100,,Z000060,Z000070,
F01020002100,,Z000060,Z000080,
F01020002100,,Z000060,Z000090,
F01020002100,,Z000060,Z000100,
F01020002100,,Z000060,Z000110,
F01020002200,,Z000060,Z000120,
F01020002200,,Z000060,Z000130,
F01020002200,,Z000060,Z000140,
F01020002900,,Z000060,Z000150,
F01020002900,,Z000060,Z000160,
F01020002900,,Z000060,Z000170,
F01020002900,,Z000060,Z000180,
F01020003300,,Z000060,Z000190,
F01020003300,,Z000060,Z000200,
F01020003300,,Z000060,Z000210,
F01020003600,,Z000060,Z000220,
F01020002100,,Z000070,Z000080,
F01020002100,,Z000070,Z000090,
F01020002100,,Z000070,Z000100,
F01020002100,,Z000070,Z000110,
F01020002200,,Z000070,Z000120,
F01020002200,,Z000070,Z000130,
F01020002200,,Z000070,Z000140,
F01020002900,,Z000070,Z000150,
F01020002900,,Z000070,Z000160,
F01020002900,,Z000070,Z000170,
F01020002900,,Z000070,Z000180,
F01020003300,,Z000070,Z000190,
F01020003300,,Z000070,Z000200,
F01020003300,,Z000070,Z000210,
F01020003600,,Z000070,Z000220,
F01020002100,,Z000080,Z000090,
F01020002100,,Z000080,Z000100,
F01020002100,,Z000080,Z000110,
F01020002200,,Z000080,Z000120,
F01020002200,,Z000080,Z000130,
F01020002200,,Z000080,Z000140,
F01020002900,,Z000080,Z000150,
F01020002900,,Z000080,Z000160,
F01020002900,,Z000080,Z000170,
F01020002900,,Z000080,Z000180,
F01020003300,,Z000080,Z000190,
F01020003300,,Z000080,Z000200,
F01020003300,,Z000080,Z000210,
F01020003600,,Z000080,Z000220,
F01020002100,,Z000090,Z000100,
F01020002100,,Z000090,Z000110,
F01020002100,,Z000090,Z000120,
F01020002100,,Z000090,Z000130,
F01020002100,,Z000090,Z000140,
F01020002400,,Z000090,Z000150,
F01020002400,,Z000090,Z000160,
F01020002400,,Z000090,Z000170,
F01020002400,,Z000090,Z000180,
F01020002900,,Z000090,Z000190,
F01020002900,,Z000090,Z000200,
F01020002900,,Z000090,Z000210,
F01020003200,,Z000090,Z000220,
F01020002100,,Z000100,Z000110,
F01020002100,,Z000100,Z000120,
F01020002100,,Z000100,Z000130,
F01020002100,,Z000100,Z000140,
F01020002300,,Z000100,Z000150,
F01020002300,,Z000100,Z000160,
F01020002300,,Z000100,Z000170,
F01020002300,,Z000100,Z000180,
F01020002800,,Z000100,Z000190,
F01020002800,,Z000100,Z000200,
F01020002800,,Z000100,Z000210,
F01020003100,,Z000100,Z000220,
F01020002000,,Z000110,Z000120,
F01020002000,,Z000110,Z000130,
F01020002000,,Z000110,Z000140,
F01020002000,,Z000110,Z000150,
F01020002000,,Z000110,Z000160,
F01020002000,,Z000110,Z000170,
F01020002000,,Z000110,Z000180,
F01020002100,,Z000110,Z000190,
F01020002100,,Z000110,Z000200,
F01020002100,,Z000110,Z000210,
F01020002300,,Z000110,Z000220,
F01020002000,,Z000120,Z000130,
F01020002000,,Z000120,Z000140,
